pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
CK,Cook Islands,AU,Australia,2010,679088.0,0.2704
CK,Cook Islands,EU,EU Institutions,2010,423841.0,0.1688
CK,Cook Islands,JP,Japan,2010,93291.0,0.0372
CK,Cook Islands,NZ,New Zealand,2010,20904666.0,8.3251
CK,Cook Islands,UN,United Nations,2010,64954.0,0.0259
CK,Cook Islands,US,United States,2010,60680.0,0.0242
CK,Cook Islands,ADB,Asian Development Bank,2011,5500000.0,1.9984
CK,Cook Islands,AF,Adaptation Fund,2011,5381600.0,1.9554
CK,Cook Islands,AU,Australia,2011,5547733.0,2.0158
CK,Cook Islands,CN,China,2011,950000.0,0.3452
CK,Cook Islands,EU,EU Institutions,2011,834260.0,0.3031
CK,Cook Islands,JP,Japan,2011,66541.0,0.0242
CK,Cook Islands,KR,Korea,2011,114160.0,0.0415
CK,Cook Islands,NZ,New Zealand,2011,21264644.0,7.7265
CK,Cook Islands,UN,United Nations,2011,80824.0,0.0294
CK,Cook Islands,WHO,World Health Organisation,2011,191040.0,0.0694
CK,Cook Islands,AU,Australia,2012,4409951.0,1.4969
CK,Cook Islands,CN,China,2012,19693564.0,6.6847
CK,Cook Islands,JP,Japan,2012,437649.0,0.1486
CK,Cook Islands,KR,Korea,2012,32681.0,0.0111
CK,Cook Islands,NZ,New Zealand,2012,15718510.0,5.3354
CK,Cook Islands,UN,United Nations,2012,43079.0,0.0146
CK,Cook Islands,US,United States,2012,30000.0,0.0102
CK,Cook Islands,WHO,World Health Organisation,2012,61380.0,0.0208
CK,Cook Islands,ADB,Asian Development Bank,2013,6225000.0,2.1668
CK,Cook Islands,AU,Australia,2013,5258002.0,1.8302
CK,Cook Islands,CN,China,2013,220000.0,0.0766
CK,Cook Islands,DE,Germany,2013,16259.0,0.0057
CK,Cook Islands,EU,EU Institutions,2013,3385555.0,1.1784
CK,Cook Islands,FR,France,2013,17398.0,0.0061
CK,Cook Islands,GEF,Global Environment Facility,2013,4417431.0,1.5376
CK,Cook Islands,JP,Japan,2013,313904.0,0.1093
CK,Cook Islands,KR,Korea,2013,112887.0,0.0393
CK,Cook Islands,NZ,New Zealand,2013,20110904.0,7.0001
CK,Cook Islands,WHO,World Health Organisation,2013,251279.0,0.0875
CK,Cook Islands,AU,Australia,2014,2736520.0,0.8533
CK,Cook Islands,CN,China,2014,6500000.0,2.0268
CK,Cook Islands,DE,Germany,2014,14478.0,0.0045
CK,Cook Islands,FR,France,2014,39334.0,0.0123
CK,Cook Islands,GEF,Global Environment Facility,2014,220000.0,0.0686
CK,Cook Islands,JP,Japan,2014,300766.0,0.0938
CK,Cook Islands,KR,Korea,2014,20616.0,0.0064
CK,Cook Islands,NZ,New Zealand,2014,27683771.0,8.6322
CK,Cook Islands,WHO,World Health Organisation,2014,131554.0,0.041
CK,Cook Islands,ADB,Asian Development Bank,2015,12980000.0,4.4277
CK,Cook Islands,AU,Australia,2015,3150184.0,1.0746
CK,Cook Islands,CN,China,2015,2724645.0,0.9294
CK,Cook Islands,FR,France,2015,1575.0,0.0005
CK,Cook Islands,GCF,Green Climate Fund,2015,150000.0,0.0512
CK,Cook Islands,GEF,Global Environment Facility,2015,4265000.0,1.4549
