pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
CK,Cook Islands,HK,"Hong Kong Special Administrative Region, People's Republic of China",2010,1768859733.74,704.4331
CK,Cook Islands,IT,Italy,2010,960726.46,0.3826
CK,Cook Islands,NZ,New Zealand,2010,17870214.0,7.1167
CK,Cook Islands,HK,"Hong Kong Special Administrative Region, People's Republic of China",2011,1772583864.53,644.0701
CK,Cook Islands,IT,Italy,2011,932729.81,0.3389
CK,Cook Islands,NZ,New Zealand,2011,18511090.02,6.726
CK,Cook Islands,IT,Italy,2012,951111.92,0.3228
CK,Cook Islands,AU,Australia,2013,53190000.0,18.514
CK,Cook Islands,ES,Spain,2013,1379100.0,0.48
CK,Cook Islands,IT,Italy,2013,994147.68,0.346
CK,Cook Islands,ES,Spain,2014,1214100.0,0.3786
CK,Cook Islands,WS,Samoa,2014,3299123.8,1.0287
CK,Cook Islands,AU,Australia,2015,21187400.0,7.2274
CK,Cook Islands,ES,Spain,2015,1088700.0,0.3714
CK,Cook Islands,MU,Mauritius,2015,3000000.0,1.0234
CK,Cook Islands,NL,"Netherlands, The",2015,75120300.0,25.625
CK,Cook Islands,AU,Australia,2016,28944000.0,9.8353
CK,Cook Islands,ES,Spain,2016,1054100.0,0.3582
CK,Cook Islands,MU,Mauritius,2016,7500000.0,2.5485
CK,Cook Islands,ES,Spain,2017,1199300.0,0.3581
CK,Cook Islands,MU,Mauritius,2017,7500000.0,2.2395
CK,Cook Islands,CN,"China, People's Republic of",2018,68200.0,0.0179
CK,Cook Islands,ES,Spain,2018,1145000.0,0.3009
CK,Cook Islands,MU,Mauritius,2018,7000000.0,1.8398
CK,Cook Islands,CN,"China, People's Republic of",2019,69000.0,0.0176
CK,Cook Islands,ES,Spain,2019,1123400.0,0.2873
CK,Cook Islands,MU,Mauritius,2019,1000000.0,0.2557
CK,Cook Islands,CN,"China, People's Republic of",2020,69000.0,0.0258
CK,Cook Islands,ES,Spain,2020,1227100.0,0.4582
CK,Cook Islands,MU,Mauritius,2020,1000000.0,0.3734
CK,Cook Islands,CN,"China, People's Republic of",2021,70000.0,0.0273
CK,Cook Islands,ES,Spain,2021,1132600.0,0.4424
CK,Cook Islands,KR,"Korea, Republic of",2021,-32.8,-0.0
CK,Cook Islands,MU,Mauritius,2021,1000000.0,0.3906
CK,Cook Islands,CN,"China, People's Republic of",2022,70000.0,0.0242
CK,Cook Islands,ES,Spain,2022,1066600.0,0.3686
CK,Cook Islands,KR,"Korea, Republic of",2022,-11.71,-0.0
CK,Cook Islands,MU,Mauritius,2022,1000000.0,0.3456
CK,Cook Islands,CN,"China, People's Republic of",2023,70000.0,0.0191
CK,Cook Islands,ES,Spain,2023,1105000.0,0.3017
CK,Cook Islands,MU,Mauritius,2023,1000000.0,0.2731
CK,Cook Islands,ES,Spain,2024,1038900.0,0.2509
CK,Cook Islands,MU,Mauritius,2024,1000000.0,0.2415
FJ,Fiji,AU,Australia,2010,754094600.0,24.0145
FJ,Fiji,IT,Italy,2010,3824.2,0.0001
FJ,Fiji,KR,"Korea, Republic of",2010,4082852.0,0.13
FJ,Fiji,NZ,New Zealand,2010,65895589.54,2.0985
FJ,Fiji,US,United States,2010,20000000.0,0.6369
FJ,Fiji,AU,Australia,2011,1055208400.0,27.9199
FJ,Fiji,IT,Italy,2011,322.18,0.0
FJ,Fiji,KR,"Korea, Republic of",2011,4559154.0,0.1206
FJ,Fiji,NZ,New Zealand,2011,28904984.23,0.7648
FJ,Fiji,US,United States,2011,-12000000.0,-0.3175
FJ,Fiji,AU,Australia,2012,484873000.0,12.2072
FJ,Fiji,IT,Italy,2012,511.93,0.0
FJ,Fiji,KR,"Korea, Republic of",2012,4571654.0,0.1151
FJ,Fiji,LU,Luxembourg,2012,86976361.35,2.1897
FJ,Fiji,MU,Mauritius,2012,820000.0,0.0206
FJ,Fiji,NZ,New Zealand,2012,18321924.25,0.4613
FJ,Fiji,AU,Australia,2013,481369500.0,11.4886
FJ,Fiji,FR,France,2013,42158400.04,1.0062
FJ,Fiji,IT,Italy,2013,310.3,0.0
FJ,Fiji,KR,"Korea, Republic of",2013,4787984.0,0.1143
FJ,Fiji,LU,Luxembourg,2013,93060952.25,2.221
FJ,Fiji,MU,Mauritius,2013,1040000.0,0.0248
FJ,Fiji,NZ,New Zealand,2013,12875499.6,0.3073
FJ,Fiji,US,United States,2013,-40000000.0,-0.9547
FJ,Fiji,AU,Australia,2014,2037228958.09,41.9433
FJ,Fiji,BM,Bermuda,2014,123610202.75,2.5449
FJ,Fiji,CA,Canada,2014,46234341.2,0.9519
FJ,Fiji,CH,Switzerland,2014,55239724.3,1.1373
FJ,Fiji,CN,"China, People's Republic of",2014,83060824.07,1.7101
FJ,Fiji,FR,France,2014,193540272.68,3.9847
FJ,Fiji,GB,United Kingdom,2014,276852643.76,5.7
FJ,Fiji,HK,"Hong Kong Special Administrative Region, People's Republic of China",2014,14287870.4,0.2942
FJ,Fiji,IN,India,2014,70181616.94,1.4449
FJ,Fiji,IT,Italy,2014,293836.48,0.006
FJ,Fiji,JP,Japan,2014,31292448.56,0.6443
FJ,Fiji,KR,"Korea, Republic of",2014,10003985.98,0.206
FJ,Fiji,LK,Sri Lanka,2014,2767017.16,0.057
FJ,Fiji,LU,Luxembourg,2014,38386074.36,0.7903
FJ,Fiji,MU,Mauritius,2014,4326608.64,0.0891
FJ,Fiji,NL,"Netherlands, The",2014,65050057.86,1.3393
FJ,Fiji,NZ,New Zealand,2014,132967751.67,2.7376
FJ,Fiji,PG,Papua New Guinea,2014,36876792.27,0.7592
FJ,Fiji,SG,Singapore,2014,234190270.16,4.8216
FJ,Fiji,US,United States,2014,73904512.75,1.5216
FJ,Fiji,VU,Vanuatu,2014,27871409.17,0.5738
FJ,Fiji,AU,Australia,2015,2041180895.07,43.5919
FJ,Fiji,BM,Bermuda,2015,113717562.99,2.4286
FJ,Fiji,CA,Canada,2015,45411808.95,0.9698
FJ,Fiji,CH,Switzerland,2015,94960511.47,2.028
FJ,Fiji,CN,"China, People's Republic of",2015,94490409.93,2.018
FJ,Fiji,FR,France,2015,187429484.77,4.0028
FJ,Fiji,GB,United Kingdom,2015,243230537.8,5.1945
FJ,Fiji,HK,"Hong Kong Special Administrative Region, People's Republic of China",2015,12504701.02,0.2671
FJ,Fiji,IN,India,2015,70092139.9,1.4969
FJ,Fiji,IT,Italy,2015,124588.65,0.0027
FJ,Fiji,JP,Japan,2015,26184655.89,0.5592
FJ,Fiji,KR,"Korea, Republic of",2015,17958825.0,0.3835
FJ,Fiji,LK,Sri Lanka,2015,2585558.48,0.0552
FJ,Fiji,LU,Luxembourg,2015,35680707.03,0.762
FJ,Fiji,MU,Mauritius,2015,4889056.04,0.1044
FJ,Fiji,NL,"Netherlands, The",2015,56459195.19,1.2058
FJ,Fiji,NZ,New Zealand,2015,118042497.18,2.5209
FJ,Fiji,PG,Papua New Guinea,2015,43155321.55,0.9216
FJ,Fiji,RU,Russian Federation,2015,6900.0,0.0001
FJ,Fiji,SG,Singapore,2015,255641218.5,5.4595
FJ,Fiji,US,United States,2015,70797292.22,1.512
FJ,Fiji,VU,Vanuatu,2015,24398270.03,0.5211
FJ,Fiji,AU,Australia,2016,2233344288.46,45.2991
FJ,Fiji,BM,Bermuda,2016,101976618.62,2.0684
FJ,Fiji,CA,Canada,2016,46199352.08,0.9371
FJ,Fiji,CH,Switzerland,2016,107328982.58,2.177
FJ,Fiji,CN,"China, People's Republic of",2016,108033241.0,2.1912
FJ,Fiji,FR,France,2016,163951359.22,3.3254
FJ,Fiji,GB,United Kingdom,2016,270810836.19,5.4929
FJ,Fiji,HK,"Hong Kong Special Administrative Region, People's Republic of China",2016,11878491.95,0.2409
FJ,Fiji,IN,India,2016,65542983.24,1.3294
FJ,Fiji,IT,Italy,2016,120630.15,0.0024
FJ,Fiji,JP,Japan,2016,29578853.47,0.6
FJ,Fiji,KR,"Korea, Republic of",2016,23343175.0,0.4735
FJ,Fiji,LK,Sri Lanka,2016,9624865.02,0.1952
FJ,Fiji,LU,Luxembourg,2016,34039156.77,0.6904
FJ,Fiji,MU,Mauritius,2016,5352363.96,0.1086
FJ,Fiji,NL,"Netherlands, The",2016,53476689.05,1.0847
FJ,Fiji,NZ,New Zealand,2016,115592281.33,2.3446
FJ,Fiji,PG,Papua New Guinea,2016,160852622.19,3.2626
FJ,Fiji,RU,Russian Federation,2016,10900.0,0.0002
FJ,Fiji,SG,Singapore,2016,309638950.19,6.2804
FJ,Fiji,US,United States,2016,76764167.33,1.557
FJ,Fiji,VU,Vanuatu,2016,23052725.48,0.4676
FJ,Fiji,AU,Australia,2017,2434615197.15,45.4773
FJ,Fiji,BM,Bermuda,2017,98259979.53,1.8354
FJ,Fiji,CA,Canada,2017,25393576.06,0.4743
FJ,Fiji,CH,Switzerland,2017,114392942.44,2.1368
FJ,Fiji,CN,"China, People's Republic of",2017,102159185.07,1.9083
FJ,Fiji,DE,Germany,2017,1319230.0,0.0246
FJ,Fiji,FR,France,2017,167227177.46,3.1237
FJ,Fiji,GB,United Kingdom,2017,288102549.11,5.3816
FJ,Fiji,HK,"Hong Kong Special Administrative Region, People's Republic of China",2017,11258955.99,0.2103
FJ,Fiji,IN,India,2017,71794121.95,1.3411
FJ,Fiji,IT,Italy,2017,143916.0,0.0027
FJ,Fiji,JP,Japan,2017,30657503.53,0.5727
FJ,Fiji,KR,"Korea, Republic of",2017,23982025.0,0.448
FJ,Fiji,LK,Sri Lanka,2017,7116050.1,0.1329
FJ,Fiji,LU,Luxembourg,2017,33874348.1,0.6328
FJ,Fiji,MU,Mauritius,2017,6482429.21,0.1211
FJ,Fiji,NL,"Netherlands, The",2017,50543451.77,0.9441
