pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
CK,Cook Islands,ADB,Asian Development Bank,2010,10607738.0,4.2244
CK,Cook Islands,AU,Australia,2010,3565031.0,1.4197
CK,Cook Islands,EU,EU Institutions,2010,106942.0,0.0426
CK,Cook Islands,GEF,Global Environment Facility,2010,96917.0,0.0386
CK,Cook Islands,IN,India,2010,125000.0,0.0498
CK,Cook Islands,JP,Japan,2010,92217.0,0.0367
CK,Cook Islands,NZ,New Zealand,2010,9805448.0,3.9049
CK,Cook Islands,UN,United Nations,2010,64954.0,0.0259
CK,Cook Islands,US,United States,2010,60680.0,0.0242
CK,Cook Islands,ADB,Asian Development Bank,2011,9146596.0,3.3234
CK,Cook Islands,AF,Adaptation Fund,2011,1955040.0,0.7104
CK,Cook Islands,AU,Australia,2011,5547733.0,2.0158
CK,Cook Islands,CN,China,2011,475000.0,0.1726
CK,Cook Islands,EU,EU Institutions,2011,1628214.0,0.5916
CK,Cook Islands,IN,India,2011,125000.0,0.0454
CK,Cook Islands,JP,Japan,2011,65402.0,0.0238
CK,Cook Islands,KR,Korea,2011,114160.0,0.0415
CK,Cook Islands,NZ,New Zealand,2011,15147591.0,5.5039
CK,Cook Islands,UN,United Nations,2011,80824.0,0.0294
CK,Cook Islands,WHO,World Health Organisation,2011,191040.0,0.0694
CK,Cook Islands,ADB,Asian Development Bank,2012,10062305.0,3.4155
CK,Cook Islands,AU,Australia,2012,4409951.0,1.4969
CK,Cook Islands,CN,China,2012,1475000.0,0.5007
CK,Cook Islands,EU,EU Institutions,2012,725141.0,0.2461
CK,Cook Islands,IN,India,2012,125000.0,0.0424
CK,Cook Islands,JP,Japan,2012,435766.0,0.1479
CK,Cook Islands,KR,Korea,2012,32681.0,0.0111
CK,Cook Islands,NZ,New Zealand,2012,18627012.0,6.3226
CK,Cook Islands,UN,United Nations,2012,43079.0,0.0146
CK,Cook Islands,US,United States,2012,12000.0,0.0041
CK,Cook Islands,WHO,World Health Organisation,2012,61380.0,0.0208
CK,Cook Islands,ADB,Asian Development Bank,2013,6749000.0,2.3491
CK,Cook Islands,AU,Australia,2013,5258002.0,1.8302
CK,Cook Islands,CN,China,2013,220000.0,0.0766
CK,Cook Islands,DE,Germany,2013,16259.0,0.0057
CK,Cook Islands,EU,EU Institutions,2013,401820.0,0.1399
CK,Cook Islands,FAO,Food and Agriculture Organisation,2013,94354.0,0.0328
CK,Cook Islands,FR,France,2013,17398.0,0.0061
CK,Cook Islands,IN,India,2013,125000.0,0.0435
CK,Cook Islands,JP,Japan,2013,312140.0,0.1086
CK,Cook Islands,KR,Korea,2013,112887.0,0.0393
CK,Cook Islands,NZ,New Zealand,2013,12004804.0,4.1785
CK,Cook Islands,WHO,World Health Organisation,2013,251279.0,0.0875
CK,Cook Islands,ADB,Asian Development Bank,2014,473939.0,0.1478
CK,Cook Islands,AF,Adaptation Fund,2014,1183020.0,0.3689
CK,Cook Islands,AU,Australia,2014,2736520.0,0.8533
CK,Cook Islands,CN,China,2014,7461188.0,2.3265
CK,Cook Islands,DE,Germany,2014,11808.0,0.0037
CK,Cook Islands,EU,EU Institutions,2014,1329886.0,0.4147
CK,Cook Islands,FR,France,2014,39334.0,0.0123
CK,Cook Islands,GEF,Global Environment Facility,2014,1386865.0,0.4324
CK,Cook Islands,IN,India,2014,210000.0,0.0655
CK,Cook Islands,JP,Japan,2014,300493.0,0.0937
CK,Cook Islands,KR,Korea,2014,20616.0,0.0064
CK,Cook Islands,NZ,New Zealand,2014,23115952.0,7.2079
CK,Cook Islands,WHO,World Health Organisation,2014,131554.0,0.041
CK,Cook Islands,ADB,Asian Development Bank,2015,347760.0,0.1186
CK,Cook Islands,AF,Adaptation Fund,2015,1384020.0,0.4721
CK,Cook Islands,AU,Australia,2015,3150184.0,1.0746
CK,Cook Islands,CN,China,2015,9593188.0,3.2724
CK,Cook Islands,EU,EU Institutions,2015,3017238.0,1.0292
CK,Cook Islands,FR,France,2015,1575.0,0.0005
CK,Cook Islands,GEF,Global Environment Facility,2015,1236865.0,0.4219
CK,Cook Islands,IN,India,2015,324332.0,0.1106
CK,Cook Islands,JP,Japan,2015,1234724.0,0.4212
CK,Cook Islands,KR,Korea,2015,214131.0,0.073
CK,Cook Islands,NZ,New Zealand,2015,17313924.0,5.9061
