pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
FJ,Fiji,IDS_915,Asian Dev. Bank,2010,108343000.0,3.4502
FJ,Fiji,IDS_915,Asian Dev. Bank,2011,124209000.0,3.2865
FJ,Fiji,IDS_915,Asian Dev. Bank,2012,133791000.0,3.3683
FJ,Fiji,IDS_915,Asian Dev. Bank,2013,138976943.9,3.3169
FJ,Fiji,IDS_915,Asian Dev. Bank,2014,137799000.0,2.8371
FJ,Fiji,IDS_915,Asian Dev. Bank,2015,130101000.0,2.7785
FJ,Fiji,IDS_915,Asian Dev. Bank,2016,122635000.0,2.4874
FJ,Fiji,IDS_915,Asian Dev. Bank,2017,169685000.0,3.1696
FJ,Fiji,IDS_915,Asian Dev. Bank,2018,179243000.0,3.2114
FJ,Fiji,IDS_915,Asian Dev. Bank,2019,185580000.0,3.4721
FJ,Fiji,IDS_915,Asian Dev. Bank,2020,445224000.0,10.5311
FJ,Fiji,IDS_915,Asian Dev. Bank,2021,452113000.0,10.871
FJ,Fiji,IDS_915,Asian Dev. Bank,2022,626187000.0,12.5794
FJ,Fiji,IDS_915,Asian Dev. Bank,2023,622694000.0,11.3699
FJ,Fiji,IDS_915,Asian Dev. Bank,2024,662880000.0,11.107
FJ,Fiji,IDS_899,Asian Infrastructure Investment Bank,2020,50000000.0,1.1827
FJ,Fiji,IDS_899,Asian Infrastructure Investment Bank,2021,50000000.0,1.2022
FJ,Fiji,IDS_899,Asian Infrastructure Investment Bank,2022,100000000.0,2.0089
FJ,Fiji,IDS_899,Asian Infrastructure Investment Bank,2023,97370000.0,1.7779
FJ,Fiji,IDS_899,Asian Infrastructure Investment Bank,2024,92110000.0,1.5434
FJ,Fiji,AU,Australia,2023,28934000.0,0.5283
FJ,Fiji,AU,Australia,2024,36740000.0,0.6156
FJ,Fiji,IDS_BND,Bondholders,2010,150000000.0,4.7768
FJ,Fiji,IDS_BND,Bondholders,2011,250000000.0,6.6148
FJ,Fiji,IDS_BND,Bondholders,2012,250000000.0,6.294
FJ,Fiji,IDS_BND,Bondholders,2013,250000000.0,5.9666
FJ,Fiji,IDS_BND,Bondholders,2014,250000000.0,5.1471
FJ,Fiji,IDS_BND,Bondholders,2015,206850000.0,4.4175
FJ,Fiji,IDS_BND,Bondholders,2016,200000000.0,4.0566
FJ,Fiji,IDS_BND,Bondholders,2017,200000000.0,3.7359
FJ,Fiji,IDS_BND,Bondholders,2018,200000000.0,3.5833
FJ,Fiji,IDS_BND,Bondholders,2019,200000000.0,3.7419
FJ,Fiji,CN,China,2010,106264236.2,3.384
FJ,Fiji,CN,China,2011,140866737.6,3.7272
FJ,Fiji,CN,China,2012,192692417.0,4.8512
FJ,Fiji,CN,China,2013,233961549.6,5.5839
FJ,Fiji,CN,China,2014,291830544.3,6.0083
FJ,Fiji,CN,China,2015,289437360.4,6.1813
FJ,Fiji,CN,China,2016,294950110.9,5.9825
FJ,Fiji,CN,China,2017,289199401.0,5.4021
FJ,Fiji,CN,China,2018,247265124.7,4.4301
FJ,Fiji,CN,China,2019,213975962.6,4.0034
FJ,Fiji,CN,China,2020,208887205.6,4.9409
FJ,Fiji,CN,China,2021,218300420.5,5.249
FJ,Fiji,CN,China,2022,177689665.0,3.5696
FJ,Fiji,CN,China,2023,149806820.1,2.7354
FJ,Fiji,CN,China,2024,123161716.5,2.0637
FJ,Fiji,IDS_918,European Development Fund (EDF),2010,2119213.2,0.0675
FJ,Fiji,IDS_919,European Investment Bank,2010,2796666.6,0.0891
FJ,Fiji,IDS_919,European Investment Bank,2022,8442000.0,0.1696
FJ,Fiji,IDS_919,European Investment Bank,2023,7879000.0,0.1439
FJ,Fiji,IDS_919,European Investment Bank,2024,17176000.0,0.2878
FJ,Fiji,IDS_646,India,2010,37296000.0,1.1877
FJ,Fiji,IDS_646,India,2011,40824000.0,1.0802
FJ,Fiji,IDS_646,India,2012,40824000.0,1.0278
FJ,Fiji,IDS_646,India,2013,40824000.0,0.9743
FJ,Fiji,IDS_646,India,2014,40168000.0,0.827
FJ,Fiji,IDS_646,India,2015,35971000.0,0.7682
FJ,Fiji,IDS_646,India,2016,32968000.0,0.6687
FJ,Fiji,IDS_646,India,2017,33918000.0,0.6336
FJ,Fiji,IDS_646,India,2018,32835000.0,0.5883
FJ,Fiji,IDS_646,India,2019,32835000.0,0.6143
FJ,Fiji,IDS_646,India,2020,32683000.0,0.7731
FJ,Fiji,IDS_646,India,2021,32683000.0,0.7859
FJ,Fiji,IDS_646,India,2022,32683000.0,0.6566
FJ,Fiji,IDS_646,India,2023,32683000.0,0.5968
FJ,Fiji,IDS_646,India,2024,29414000.0,0.4929
FJ,Fiji,IDS_988,International Fund for Agricultural Dev.,2017,1079370.0,0.0202
FJ,Fiji,IDS_988,International Fund for Agricultural Dev.,2018,1076300.0,0.0193
FJ,Fiji,IDS_988,International Fund for Agricultural Dev.,2019,1179570.0,0.0221
FJ,Fiji,IDS_988,International Fund for Agricultural Dev.,2020,1130159.1,0.0267
FJ,Fiji,JP,Japan,2010,18731200.7,0.5965
FJ,Fiji,JP,Japan,2011,18010642.5,0.4765
FJ,Fiji,JP,Japan,2012,14727660.3,0.3708
FJ,Fiji,JP,Japan,2013,10949667.6,0.2613
FJ,Fiji,JP,Japan,2014,8554376.7,0.1761
FJ,Fiji,JP,Japan,2015,7551867.2,0.1613
FJ,Fiji,JP,Japan,2016,6755137.0,0.137
FJ,Fiji,JP,Japan,2017,5916740.5,0.1105
FJ,Fiji,JP,Japan,2018,4926464.0,0.0883
FJ,Fiji,JP,Japan,2019,3894794.7,0.0729
FJ,Fiji,JP,Japan,2020,23670751.7,0.5599
FJ,Fiji,JP,Japan,2021,133490937.7,3.2098
FJ,Fiji,JP,Japan,2022,189408217.2,3.805
FJ,Fiji,JP,Japan,2023,176527376.5,3.2233
FJ,Fiji,JP,Japan,2024,159834025.0,2.6781
FJ,Fiji,IDS_751,Malaysia,2011,10701310.7,0.2831
FJ,Fiji,IDS_751,Malaysia,2012,17672172.3,0.4449
FJ,Fiji,IDS_751,Malaysia,2013,19598000.0,0.4677
FJ,Fiji,IDS_751,Malaysia,2014,12751000.0,0.2625
FJ,Fiji,IDS_751,Malaysia,2015,7751000.0,0.1655
FJ,Fiji,IDS_751,Malaysia,2016,2751000.0,0.0558
FJ,Fiji,IDS_901,World Bank-IBRD,2016,50178000.0,1.0178
FJ,Fiji,IDS_901,World Bank-IBRD,2017,53563000.0,1.0005
FJ,Fiji,IDS_901,World Bank-IBRD,2018,73100000.0,1.3097
FJ,Fiji,IDS_901,World Bank-IBRD,2019,76205000.0,1.4257
FJ,Fiji,IDS_901,World Bank-IBRD,2020,82673000.0,1.9555
FJ,Fiji,IDS_901,World Bank-IBRD,2021,115385000.0,2.7744
FJ,Fiji,IDS_901,World Bank-IBRD,2022,178010000.0,3.576
FJ,Fiji,IDS_901,World Bank-IBRD,2023,182454000.0,3.3315
FJ,Fiji,IDS_901,World Bank-IBRD,2024,183012000.0,3.0665
FJ,Fiji,IDS_905,World Bank-IDA,2020,59415000.0,1.4054
FJ,Fiji,IDS_905,World Bank-IDA,2021,210918000.0,5.0715
FJ,Fiji,IDS_905,World Bank-IDA,2022,290437000.0,5.8346
FJ,Fiji,IDS_905,World Bank-IDA,2023,296486000.0,5.4136
FJ,Fiji,IDS_905,World Bank-IDA,2024,391688000.0,6.563
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2010,432058000.0,3.0318
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2011,429667000.0,2.389
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2012,494995000.0,2.3244
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2013,642407713.2,3.0215
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2014,707221000.0,3.0469
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2015,790875000.0,3.6407
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2016,859681000.0,4.1413
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2017,950647000.0,4.18
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2018,1136611000.0,4.7143
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2019,1358687000.0,5.4895
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2020,2001425000.0,8.3923
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2021,2256826000.0,8.6437
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2022,2519353000.0,7.9592
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2023,2515000000.0,8.1612
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,2024,2586954000.0,8.135
PG,Papua New Guinea,AU,Australia,2010,3841614.0,0.027
PG,Papua New Guinea,AU,Australia,2011,1828080.0,0.0102
PG,Papua New Guinea,AU,Australia,2012,1352650.0,0.0064
PG,Papua New Guinea,AU,Australia,2013,1152450.0,0.0054
PG,Papua New Guinea,AU,Australia,2014,1066260.0,0.0046
PG,Papua New Guinea,AU,Australia,2015,949780.0,0.0044
PG,Papua New Guinea,AU,Australia,2016,759780.0,0.0037
PG,Papua New Guinea,AU,Australia,2019,300000000.0,1.2121
PG,Papua New Guinea,AU,Australia,2020,429404214.6,1.8006
PG,Papua New Guinea,AU,Australia,2021,876178688.8,3.3558
PG,Papua New Guinea,AU,Australia,2022,1347946000.0,4.2585
PG,Papua New Guinea,AU,Australia,2023,1712433864.0,5.5569
PG,Papua New Guinea,AU,Australia,2024,1834503305.4,5.7688
PG,Papua New Guinea,CN,China,2010,12175934.9,0.0854
PG,Papua New Guinea,CN,China,2011,67724610.8,0.3766
PG,Papua New Guinea,CN,China,2012,110536918.2,0.5191
PG,Papua New Guinea,CN,China,2013,134520719.7,0.6327
PG,Papua New Guinea,CN,China,2014,226270550.6,0.9748
PG,Papua New Guinea,CN,China,2015,300136203.6,1.3816
PG,Papua New Guinea,CN,China,2016,410944791.8,1.9796
PG,Papua New Guinea,CN,China,2017,544903592.1,2.3959
PG,Papua New Guinea,CN,China,2018,602787915.0,2.5002
PG,Papua New Guinea,CN,China,2019,843575991.3,3.4083
PG,Papua New Guinea,CN,China,2020,944035902.2,3.9585
PG,Papua New Guinea,CN,China,2021,1105518368.9,4.2342
PG,Papua New Guinea,CN,China,2022,1172602196.2,3.7045
PG,Papua New Guinea,CN,China,2023,1168032483.8,3.7903
PG,Papua New Guinea,CN,China,2024,1106224960.0,3.4786
PG,Papua New Guinea,IDS_919,European Investment Bank,2010,3376576.4,0.0237
PG,Papua New Guinea,IDS_919,European Investment Bank,2011,1811460.0,0.0101
PG,Papua New Guinea,IDS_919,European Investment Bank,2012,923580.0,0.0043
PG,Papua New Guinea,IDS_919,European Investment Bank,2020,11213239.8,0.047
PG,Papua New Guinea,IDS_919,European Investment Bank,2021,36174111.4,0.1385
PG,Papua New Guinea,IDS_919,European Investment Bank,2022,34066137.4,0.1076
PG,Papua New Guinea,IDS_919,European Investment Bank,2023,50396840.0,0.1635
PG,Papua New Guinea,IDS_919,European Investment Bank,2024,47382151.2,0.149
PG,Papua New Guinea,JP,Japan,2010,263364027.0,1.8481
PG,Papua New Guinea,JP,Japan,2011,252779188.2,1.4055
PG,Papua New Guinea,JP,Japan,2012,206100519.9,0.9678
PG,Papua New Guinea,JP,Japan,2013,152258110.2,0.7161
PG,Papua New Guinea,JP,Japan,2014,118517904.5,0.5106
PG,Papua New Guinea,JP,Japan,2015,103784232.4,0.4778
PG,Papua New Guinea,JP,Japan,2016,118304794.5,0.5699
PG,Papua New Guinea,JP,Japan,2017,126589902.5,0.5566
PG,Papua New Guinea,JP,Japan,2018,131715239.5,0.5463
PG,Papua New Guinea,JP,Japan,2019,157762096.7,0.6374
PG,Papua New Guinea,JP,Japan,2020,266023352.3,1.1155
PG,Papua New Guinea,JP,Japan,2021,543131074.3,2.0802
PG,Papua New Guinea,JP,Japan,2022,484183942.7,1.5297
PG,Papua New Guinea,JP,Japan,2023,483764357.7,1.5698
PG,Papua New Guinea,JP,Japan,2024,456727311.3,1.4362
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2010,138624000.0,0.9727
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2011,126517000.0,0.7035
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2012,113611000.0,0.5335
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2013,99829000.0,0.4695
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2014,85134000.0,0.3668
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2015,69439000.0,0.3197
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2016,57870000.0,0.2788
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2017,45475000.0,0.2
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2018,32218000.0,0.1336
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2019,18018000.0,0.0728
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2020,8220000.0,0.0345
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2021,4171000.0,0.016
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2022,75000.0,0.0002
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2023,2945000.0,0.0096
PG,Papua New Guinea,IDS_901,World Bank-IBRD,2024,3099000.0,0.0097
PG,Papua New Guinea,IDS_905,World Bank-IDA,2010,85987000.0,0.6034
PG,Papua New Guinea,IDS_905,World Bank-IDA,2011,99315000.0,0.5522
PG,Papua New Guinea,IDS_905,World Bank-IDA,2012,122861000.0,0.5769
PG,Papua New Guinea,IDS_905,World Bank-IDA,2013,146429000.0,0.6887
PG,Papua New Guinea,IDS_905,World Bank-IDA,2014,166701000.0,0.7182
PG,Papua New Guinea,IDS_905,World Bank-IDA,2015,180772000.0,0.8322
PG,Papua New Guinea,IDS_905,World Bank-IDA,2016,203954000.0,0.9825
PG,Papua New Guinea,IDS_905,World Bank-IDA,2017,231464000.0,1.0178
PG,Papua New Guinea,IDS_905,World Bank-IDA,2018,413567000.0,1.7153
PG,Papua New Guinea,IDS_905,World Bank-IDA,2019,427571000.0,1.7275
PG,Papua New Guinea,IDS_905,World Bank-IDA,2020,471885000.0,1.9787
PG,Papua New Guinea,IDS_905,World Bank-IDA,2021,558061000.0,2.1374
PG,Papua New Guinea,IDS_905,World Bank-IDA,2022,544845000.0,1.7213
PG,Papua New Guinea,IDS_905,World Bank-IDA,2023,565602000.0,1.8354
PG,Papua New Guinea,IDS_905,World Bank-IDA,2024,580779000.0,1.8263
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2010,54867000.0,6.109
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2011,52722000.0,4.9555
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2012,48385000.0,4.0824
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2013,42625899.0,3.3149
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2014,37489000.0,2.807
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2015,33968000.0,2.5971
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2016,39588000.0,2.8698
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2017,46230000.0,3.1453
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2018,46287000.0,2.8652
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2019,47789000.0,2.9515
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2020,65535000.0,4.2662
SB,Solomon Islands,IDS_915,Asian Dev. Bank,2021,63085000.0,4.0483
