recipient_code,recipient_name,creditor_code,creditor_name,ids_debtor_code,ids_creditor_code,year,value_usd,pct_gdp
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2010,432058000.0,3.0318
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2011,429667000.0,2.389
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2012,494995000.0,2.3244
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2013,642407713.2,3.0215
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2014,707221000.0,3.0469
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2015,790875000.0,3.6407
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2016,859681000.0,4.1413
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2017,950647000.0,4.18
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2018,1136611000.0,4.7143
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2019,1358687000.0,5.4895
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2020,2001425000.0,8.3923
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2021,2256826000.0,8.6437
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2022,2519353000.0,7.9592
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2023,2515000000.0,8.1612
PG,Papua New Guinea,IDS_915,Asian Dev. Bank,PNG,915,2024,2586954000.0,8.135
PG,Papua New Guinea,AU,Australia,PNG,801,2010,3841614.0,0.027
PG,Papua New Guinea,AU,Australia,PNG,801,2011,1828080.0,0.0102
PG,Papua New Guinea,AU,Australia,PNG,801,2012,1352650.0,0.0064
PG,Papua New Guinea,AU,Australia,PNG,801,2013,1152450.0,0.0054
PG,Papua New Guinea,AU,Australia,PNG,801,2014,1066260.0,0.0046
PG,Papua New Guinea,AU,Australia,PNG,801,2015,949780.0,0.0044
PG,Papua New Guinea,AU,Australia,PNG,801,2016,759780.0,0.0037
