recipient_code,recipient_name,creditor_code,creditor_name,ids_debtor_code,ids_creditor_code,year,value_usd,pct_gdp
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2010,41372000.0,11.2765
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2011,39138000.0,9.4503
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2012,37072000.0,7.8689
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2013,35033448.0,7.7544
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2014,30871000.0,7.0003
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2015,27484000.0,6.2817
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2016,27425000.0,6.5169
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2017,30312000.0,6.5899
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2018,31052000.0,6.2918
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2019,29111000.0,5.7528
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2020,28327000.0,5.5919
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2021,26034000.0,5.0132
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2022,23373000.0,4.1999
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2023,21870000.0,3.6996
TO,Tonga,IDS_915,Asian Dev. Bank,TON,915,2024,19515000.0,
TO,Tonga,AU,Australia,TON,801,2010,261189.1,0.0712
TO,Tonga,AU,Australia,TON,801,2011,274212.0,0.0662
TO,Tonga,AU,Australia,TON,801,2012,280935.0,0.0596
TO,Tonga,AU,Australia,TON,801,2013,170208.0,0.0377
TO,Tonga,AU,Australia,TON,801,2014,141894.6,0.0322
TO,Tonga,CN,China,TON,730,2010,71653827.3,19.5302
TO,Tonga,CN,China,TON,730,2011,112049368.7,27.0557
TO,Tonga,CN,China,TON,730,2012,121518470.2,25.7934
TO,Tonga,CN,China,TON,730,2013,125887238.8,27.8642
TO,Tonga,CN,China,TON,730,2014,124880372.6,28.3177
TO,Tonga,CN,China,TON,730,2015,117087267.9,26.7612
TO,Tonga,CN,China,TON,730,2016,105182882.9,24.9943
TO,Tonga,CN,China,TON,730,2017,112261195.4,24.4058
TO,Tonga,CN,China,TON,730,2018,103611265.1,20.9939
TO,Tonga,CN,China,TON,730,2019,101624159.2,20.0826
TO,Tonga,CN,China,TON,730,2020,107623223.1,21.2454
TO,Tonga,CN,China,TON,730,2021,112551959.0,21.6735
TO,Tonga,CN,China,TON,730,2022,97362152.9,17.495
TO,Tonga,CN,China,TON,730,2023,83871017.4,14.188
TO,Tonga,CN,China,TON,730,2024,65755699.2,
TO,Tonga,IDS_919,European Investment Bank,TON,919,2010,291565.5,0.0795
TO,Tonga,IDS_919,European Investment Bank,TON,919,2011,212725.0,0.0514
TO,Tonga,IDS_919,European Investment Bank,TON,919,2012,142781.5,0.0303
TO,Tonga,IDS_919,European Investment Bank,TON,919,2013,102893.3,0.0228
TO,Tonga,IDS_919,European Investment Bank,TON,919,2014,49778.1,0.0113
TO,Tonga,IDS_919,European Investment Bank,TON,919,2015,38104.5,0.0087
TO,Tonga,IDS_919,European Investment Bank,TON,919,2016,30568.9,0.0073
TO,Tonga,IDS_919,European Investment Bank,TON,919,2017,20388.1,0.0044
TO,Tonga,IDS_919,European Investment Bank,TON,919,2018,6870.0,0.0014
TO,Tonga,NZ,New Zealand,TON,820,2010,834072.8,0.2273
TO,Tonga,NZ,New Zealand,TON,820,2011,758187.9,0.1831
TO,Tonga,NZ,New Zealand,TON,820,2012,606164.8,0.1287
TO,Tonga,NZ,New Zealand,TON,820,2013,405999.0,0.0899
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2010,23574000.0,6.4254
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2011,23332000.0,5.6338
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2012,23121000.0,4.9076
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2013,22865000.0,5.061
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2014,25922000.0,5.878
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2015,26469000.0,6.0497
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2016,29083000.0,6.9109
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2017,37220000.0,8.0917
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2018,39065000.0,7.9154
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2019,42897000.0,8.4771
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2020,44961000.0,8.8755
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2021,43603000.0,8.3964
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2022,40768000.0,7.3256
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2023,41508000.0,7.0217
TO,Tonga,IDS_905,World Bank-IDA,TON,905,2024,40235000.0,
