recipient_code,recipient_name,creditor_code,creditor_name,ids_debtor_code,ids_creditor_code,year,value_usd,pct_gdp
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2010,55301000.0,8.2451
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2011,55154000.0,7.1614
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2012,50408000.0,6.7405
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2013,43516770.0,5.7387
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2014,38778000.0,5.0119
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2015,38560000.0,5.0758
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2016,41497000.0,5.1592
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2017,47023000.0,5.3433
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2018,47080000.0,5.1469
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2019,52041000.0,5.5568
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2020,53621000.0,5.8962
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2021,50495000.0,5.3131
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2022,52918000.0,5.0158
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2023,57329000.0,5.1376
VU,Vanuatu,IDS_915,Asian Dev. Bank,VUT,915,2024,52916000.0,4.7332
VU,Vanuatu,CN,China,VUT,730,2010,30541303.6,4.5536
VU,Vanuatu,CN,China,VUT,730,2011,36246250.6,4.7064
VU,Vanuatu,CN,China,VUT,730,2012,41008013.2,5.4835
VU,Vanuatu,CN,China,VUT,730,2013,40360841.7,5.3225
VU,Vanuatu,CN,China,VUT,730,2014,37574930.5,4.8564
VU,Vanuatu,CN,China,VUT,730,2015,110942925.4,14.6037
VU,Vanuatu,CN,China,VUT,730,2016,128384845.6,15.9618
VU,Vanuatu,CN,China,VUT,730,2017,156557835.2,17.7898
VU,Vanuatu,CN,China,VUT,730,2018,143070334.2,15.6408
VU,Vanuatu,CN,China,VUT,730,2019,139584800.3,14.9045
VU,Vanuatu,CN,China,VUT,730,2020,147256729.2,16.1924
VU,Vanuatu,CN,China,VUT,730,2021,157726045.4,16.5959
VU,Vanuatu,CN,China,VUT,730,2022,165203263.6,15.6586
VU,Vanuatu,CN,China,VUT,730,2023,156078307.9,13.9873
VU,Vanuatu,CN,China,VUT,730,2024,157566171.6,14.0939
VU,Vanuatu,IDS_919,European Investment Bank,VUT,919,2010,1865335.2,0.2781
VU,Vanuatu,IDS_919,European Investment Bank,VUT,919,2011,1229205.0,0.1596
VU,Vanuatu,IDS_919,European Investment Bank,VUT,919,2012,835180.2,0.1117
VU,Vanuatu,IDS_919,European Investment Bank,VUT,919,2013,435795.6,0.0575
VU,Vanuatu,IDS_004,France,VUT,004,2010,3240285.0,0.4831
VU,Vanuatu,IDS_004,France,VUT,004,2011,2792236.2,0.3626
VU,Vanuatu,IDS_004,France,VUT,004,2012,2487069.0,0.3326
VU,Vanuatu,IDS_004,France,VUT,004,2013,2223109.2,0.2932
VU,Vanuatu,IDS_004,France,VUT,004,2014,1625679.9,0.2101
VU,Vanuatu,IDS_004,France,VUT,004,2015,1161642.9,0.1529
VU,Vanuatu,IDS_004,France,VUT,004,2016,843280.0,0.1048
VU,Vanuatu,IDS_004,France,VUT,004,2017,640426.2,0.0728
VU,Vanuatu,IDS_004,France,VUT,004,2018,305715.0,0.0334
VU,Vanuatu,JP,Japan,VUT,701,2013,13295346.6,1.7533
VU,Vanuatu,JP,Japan,VUT,701,2014,12193302.4,1.5759
VU,Vanuatu,JP,Japan,VUT,701,2015,12207468.9,1.6069
VU,Vanuatu,JP,Japan,VUT,701,2016,27970890.4,3.4776
VU,Vanuatu,JP,Japan,VUT,701,2017,54269264.8,6.1667
VU,Vanuatu,JP,Japan,VUT,701,2018,68672742.1,7.5075
VU,Vanuatu,JP,Japan,VUT,701,2019,70857771.3,7.566
VU,Vanuatu,JP,Japan,VUT,701,2020,74611599.0,8.2043
VU,Vanuatu,JP,Japan,VUT,701,2021,67699851.2,7.1233
VU,Vanuatu,JP,Japan,VUT,701,2022,57670561.7,5.4662
VU,Vanuatu,JP,Japan,VUT,701,2023,52850398.1,4.7363
VU,Vanuatu,JP,Japan,VUT,701,2024,46919885.1,4.1969
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2010,11657000.0,1.738
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2011,11049000.0,1.4346
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2012,10473000.0,1.4004
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2013,9904000.0,1.3061
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2014,8763000.0,1.1326
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2015,9107000.0,1.1988
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2016,12163000.0,1.5122
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2017,29107000.0,3.3075
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2018,54676000.0,5.9773
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2019,82984000.0,8.8608
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2020,91605000.0,10.0729
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2021,97933000.0,10.3045
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2022,98210000.0,9.3087
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2023,96033000.0,8.6062
VU,Vanuatu,IDS_905,World Bank-IDA,VUT,905,2024,95493000.0,8.5416
