pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_people,pct_population
CK,Cook Islands,NZ,New Zealand,2010,13592.0,84.95
CK,Cook Islands,AU,Australia,2010,6647.0,41.5438
CK,Cook Islands,FJ,Fiji,2010,32.0,0.2
CK,Cook Islands,WS,Samoa,2010,14.0,0.0875
CK,Cook Islands,DO,Dominican Republic,2010,9.0,0.0562
CK,Cook Islands,NZ,New Zealand,2015,12457.0,77.8563
CK,Cook Islands,AU,Australia,2015,8049.0,50.3062
CK,Cook Islands,FJ,Fiji,2015,33.0,0.2063
CK,Cook Islands,WS,Samoa,2015,11.0,0.0687
CK,Cook Islands,DO,Dominican Republic,2015,8.0,0.05
CK,Cook Islands,NZ,New Zealand,2020,12101.0,77.3573
CK,Cook Islands,AU,Australia,2020,7984.0,51.0388
CK,Cook Islands,FJ,Fiji,2020,32.0,0.2046
CK,Cook Islands,WS,Samoa,2020,9.0,0.0575
CK,Cook Islands,DO,Dominican Republic,2020,8.0,0.0511
CK,Cook Islands,NZ,New Zealand,2024,12403.0,87.21
CK,Cook Islands,AU,Australia,2024,7834.0,55.0837
CK,Cook Islands,FJ,Fiji,2024,33.0,0.232
CK,Cook Islands,DO,Dominican Republic,2024,9.0,0.0633
CK,Cook Islands,WS,Samoa,2024,9.0,0.0633
FJ,Fiji,AU,Australia,2010,63911.0,7.02
FJ,Fiji,NZ,New Zealand,2010,47256.0,5.1906
FJ,Fiji,CA,Canada,2010,24843.0,2.7287
FJ,Fiji,TO,Tonga,2010,582.0,0.0639
FJ,Fiji,KI,Kiribati,2010,489.0,0.0537
FJ,Fiji,AS,American Samoa,2010,333.0,0.0366
FJ,Fiji,VU,Vanuatu,2010,216.0,0.0237
FJ,Fiji,WS,Samoa,2010,142.0,0.0156
FJ,Fiji,CK,Cook Islands,2010,138.0,0.0152
FJ,Fiji,IN,India,2010,133.0,0.0146
FJ,Fiji,MH,Marshall Islands,2010,111.0,0.0122
FJ,Fiji,SB,Solomon Islands,2010,110.0,0.0121
FJ,Fiji,PG,Papua New Guinea,2010,83.0,0.0091
FJ,Fiji,NR,Nauru,2010,58.0,0.0064
FJ,Fiji,TV,Tuvalu,2010,48.0,0.0053
FJ,Fiji,NU,Niue,2010,41.0,0.0045
FJ,Fiji,NO,Norway,2010,40.0,0.0044
FJ,Fiji,PF,French Polynesia,2010,32.0,0.0035
FJ,Fiji,DK,Denmark,2010,23.0,0.0025
FJ,Fiji,FI,Finland,2010,7.0,0.0008
FJ,Fiji,CY,Cyprus,2010,3.0,0.0003
FJ,Fiji,BG,Bulgaria,2010,2.0,0.0002
FJ,Fiji,CR,Costa Rica,2010,2.0,0.0002
FJ,Fiji,IS,Iceland,2010,2.0,0.0002
FJ,Fiji,GR,Greece,2010,1.0,0.0001
FJ,Fiji,SI,Slovenia,2010,1.0,0.0001
FJ,Fiji,AU,Australia,2015,72652.0,7.9092
FJ,Fiji,NZ,New Zealand,2015,57371.0,6.2456
FJ,Fiji,CA,Canada,2015,25117.0,2.7343
FJ,Fiji,TO,Tonga,2015,499.0,0.0543
FJ,Fiji,KI,Kiribati,2015,497.0,0.0541
FJ,Fiji,CK,Cook Islands,2015,480.0,0.0523
FJ,Fiji,AS,American Samoa,2015,332.0,0.0361
FJ,Fiji,VU,Vanuatu,2015,230.0,0.025
FJ,Fiji,IN,India,2015,123.0,0.0134
FJ,Fiji,MH,Marshall Islands,2015,118.0,0.0128
FJ,Fiji,WS,Samoa,2015,118.0,0.0128
FJ,Fiji,SB,Solomon Islands,2015,103.0,0.0112
FJ,Fiji,NR,Nauru,2015,91.0,0.0099
FJ,Fiji,PG,Papua New Guinea,2015,84.0,0.0091
FJ,Fiji,TV,Tuvalu,2015,51.0,0.0056
FJ,Fiji,NO,Norway,2015,41.0,0.0045
FJ,Fiji,NU,Niue,2015,40.0,0.0044
FJ,Fiji,PF,French Polynesia,2015,30.0,0.0033
FJ,Fiji,DK,Denmark,2015,26.0,0.0028
FJ,Fiji,FI,Finland,2015,9.0,0.001
FJ,Fiji,HU,Hungary,2015,4.0,0.0004
FJ,Fiji,GN,Guinea,2015,3.0,0.0003
FJ,Fiji,CY,Cyprus,2015,2.0,0.0002
FJ,Fiji,BG,Bulgaria,2015,1.0,0.0001
FJ,Fiji,CR,Costa Rica,2015,1.0,0.0001
FJ,Fiji,EE,Estonia,2015,1.0,0.0001
FJ,Fiji,IS,Iceland,2015,1.0,0.0001
FJ,Fiji,SI,Slovenia,2015,1.0,0.0001
FJ,Fiji,AU,Australia,2020,76355.0,8.3451
FJ,Fiji,NZ,New Zealand,2020,65339.0,7.1412
FJ,Fiji,CA,Canada,2020,24774.0,2.7077
FJ,Fiji,KI,Kiribati,2020,531.0,0.058
FJ,Fiji,CK,Cook Islands,2020,527.0,0.0576
FJ,Fiji,TO,Tonga,2020,470.0,0.0514
FJ,Fiji,AS,American Samoa,2020,332.0,0.0363
FJ,Fiji,VU,Vanuatu,2020,235.0,0.0257
FJ,Fiji,MH,Marshall Islands,2020,117.0,0.0128
FJ,Fiji,IN,India,2020,115.0,0.0126
FJ,Fiji,WS,Samoa,2020,110.0,0.012
FJ,Fiji,NR,Nauru,2020,105.0,0.0115
FJ,Fiji,SB,Solomon Islands,2020,100.0,0.0109
FJ,Fiji,PG,Papua New Guinea,2020,83.0,0.0091
FJ,Fiji,TV,Tuvalu,2020,55.0,0.006
FJ,Fiji,NO,Norway,2020,41.0,0.0045
FJ,Fiji,NU,Niue,2020,39.0,0.0043
FJ,Fiji,DK,Denmark,2020,33.0,0.0036
FJ,Fiji,PF,French Polynesia,2020,30.0,0.0033
FJ,Fiji,FI,Finland,2020,9.0,0.001
FJ,Fiji,HU,Hungary,2020,4.0,0.0004
FJ,Fiji,LU,Luxembourg,2020,4.0,0.0004
FJ,Fiji,CR,Costa Rica,2020,1.0,0.0001
FJ,Fiji,CY,Cyprus,2020,1.0,0.0001
FJ,Fiji,GN,Guinea,2020,1.0,0.0001
FJ,Fiji,AU,Australia,2024,83435.0,8.9833
FJ,Fiji,NZ,New Zealand,2024,70552.0,7.5962
FJ,Fiji,CA,Canada,2024,24028.0,2.587
FJ,Fiji,CK,Cook Islands,2024,568.0,0.0612
FJ,Fiji,KI,Kiribati,2024,561.0,0.0604
FJ,Fiji,TO,Tonga,2024,450.0,0.0485
FJ,Fiji,AS,American Samoa,2024,333.0,0.0359
FJ,Fiji,VU,Vanuatu,2024,239.0,0.0257
FJ,Fiji,NR,Nauru,2024,122.0,0.0131
FJ,Fiji,MH,Marshall Islands,2024,117.0,0.0126
FJ,Fiji,IN,India,2024,108.0,0.0116
FJ,Fiji,WS,Samoa,2024,105.0,0.0113
FJ,Fiji,SB,Solomon Islands,2024,98.0,0.0106
FJ,Fiji,PG,Papua New Guinea,2024,83.0,0.0089
