pacific_code,pacific_name,counterpart_code,counterpart_name,year,value_usd,pct_gdp
FJ,Fiji,AS,American Samoa,2010,98935.4,0.0032
FJ,Fiji,AU,Australia,2010,52614387.51,1.6755
FJ,Fiji,BE,Belgium,2010,20042.77,0.0006
FJ,Fiji,BZ,Belize,2010,1625.34,0.0001
FJ,Fiji,BO,Bolivia,2010,957.6,0.0
FJ,Fiji,CA,Canada,2010,25057897.57,0.798
FJ,Fiji,KY,Cayman Islands,2010,1661.16,0.0001
FJ,Fiji,CL,Chile,2010,11959.92,0.0004
FJ,Fiji,CY,Cyprus,2010,4366.59,0.0001
FJ,Fiji,CZ,Czech Republic,2010,5452.11,0.0002
FJ,Fiji,DK,Denmark,2010,24241.04,0.0008
FJ,Fiji,FI,Finland,2010,10454.43,0.0003
FJ,Fiji,FR,France,2010,96786.45,0.0031
FJ,Fiji,DE,Germany,2010,100180.72,0.0032
FJ,Fiji,GR,Greece,2010,7924.16,0.0003
FJ,Fiji,HU,Hungary,2010,713.34,0.0
FJ,Fiji,IN,India,2010,101234.27,0.0032
FJ,Fiji,IE,Ireland,2010,40313.7,0.0013
FJ,Fiji,IT,Italy,2010,48450.94,0.0015
FJ,Fiji,JP,Japan,2010,160453.11,0.0051
FJ,Fiji,LU,Luxembourg,2010,3630.68,0.0001
FJ,Fiji,MX,Mexico,2010,2058.65,0.0001
FJ,Fiji,NL,Netherlands,2010,56826.16,0.0018
FJ,Fiji,NZ,New Zealand,2010,33604980.47,1.0702
FJ,Fiji,NO,Norway,2010,33789.38,0.0011
FJ,Fiji,PA,Panama,2010,1000.38,0.0
FJ,Fiji,PE,Peru,2010,455.82,0.0
FJ,Fiji,PH,Philippines,2010,34189.27,0.0011
FJ,Fiji,PL,Poland,2010,1571.87,0.0001
FJ,Fiji,WS,Samoa,2010,146476.22,0.0047
FJ,Fiji,SK,Slovak Republic,2010,476.61,0.0
FJ,Fiji,SB,Solomon Islands,2010,203809.23,0.0065
FJ,Fiji,ES,Spain,2010,44865.66,0.0014
FJ,Fiji,SE,Sweden,2010,45536.22,0.0015
FJ,Fiji,CH,Switzerland,2010,164641.62,0.0052
FJ,Fiji,TO,Tonga,2010,61680.16,0.002
FJ,Fiji,TR,Turkey,2010,1577.53,0.0001
FJ,Fiji,GB,United Kingdom,2010,3960791.59,0.1261
FJ,Fiji,US,United States,2010,38976860.05,1.2412
FJ,Fiji,VU,Vanuatu,2010,17443.78,0.0006
FJ,Fiji,AS,American Samoa,2017,166673.65,0.0031
FJ,Fiji,AR,Argentina,2017,736.66,0.0
FJ,Fiji,AW,Aruba,2017,395.6,0.0
FJ,Fiji,AU,Australia,2017,28742378.73,0.5369
FJ,Fiji,AT,Austria,2017,7399.88,0.0001
FJ,Fiji,BM,Bermuda,2017,3265.17,0.0001
FJ,Fiji,BG,Bulgaria,2017,734.16,0.0
FJ,Fiji,CA,Canada,2017,11819508.69,0.2208
FJ,Fiji,CL,Chile,2017,4159.46,0.0001
FJ,Fiji,CN,China,2017,48549.15,0.0009
FJ,Fiji,CO,Colombia,2017,351.97,0.0
FJ,Fiji,CR,Costa Rica,2017,357.74,0.0
FJ,Fiji,CY,Cyprus,2017,1986.25,0.0
FJ,Fiji,CZ,Czech Republic,2017,1600.4,0.0
FJ,Fiji,DK,Denmark,2017,9620.33,0.0002
FJ,Fiji,EG,"Egypt, Arab Rep.",2017,341.89,0.0
FJ,Fiji,FI,Finland,2017,3801.76,0.0001
FJ,Fiji,FR,France,2017,49603.92,0.0009
FJ,Fiji,PF,French Polynesia,2017,14977.03,0.0003
FJ,Fiji,GR,Greece,2017,8512.18,0.0002
FJ,Fiji,IS,Iceland,2017,440.03,0.0
FJ,Fiji,IN,India,2017,57955.46,0.0011
FJ,Fiji,IE,Ireland,2017,18823.51,0.0004
FJ,Fiji,IT,Italy,2017,22241.64,0.0004
FJ,Fiji,KE,Kenya,2017,2318.22,0.0
FJ,Fiji,KI,Kiribati,2017,161944.12,0.003
FJ,Fiji,LU,Luxembourg,2017,481.41,0.0
FJ,Fiji,MH,Marshall Islands,2017,9935.22,0.0002
FJ,Fiji,MX,Mexico,2017,727.06,0.0
FJ,Fiji,NL,Netherlands,2017,27026.86,0.0005
FJ,Fiji,NZ,New Zealand,2017,21688170.21,0.4051
FJ,Fiji,NI,Nicaragua,2017,662.35,0.0
FJ,Fiji,NO,Norway,2017,19252.89,0.0004
FJ,Fiji,PA,Panama,2017,372.33,0.0
FJ,Fiji,PG,Papua New Guinea,2017,52987.85,0.001
FJ,Fiji,PE,Peru,2017,347.09,0.0
FJ,Fiji,PH,Philippines,2017,2668.16,0.0
FJ,Fiji,PL,Poland,2017,3866.11,0.0001
FJ,Fiji,RU,Russian Federation,2017,752.6,0.0
FJ,Fiji,WS,Samoa,2017,51663.15,0.001
FJ,Fiji,SI,Slovenia,2017,798.66,0.0
FJ,Fiji,ZA,South Africa,2017,8362.4,0.0002
