pacific_code,pacific_name,counterpart_code,counterpart_name,year,order_year,number_ordered,weapon_designation,weapon_description,deliveries,delivery_years,status,comments,value_tiv
FJ,Fiji,AU,Australia,2017,2017,10,Bushmaster,armoured personnel carrier,10.0,2017,Second hand,Second-hand; for Fiji forces in UN peacekeeping operations (in Golan/Syria),1.4
FJ,Fiji,AU,Australia,2020,2014,2,Guardian,patrol boat,1.0,2020; 2024,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Fijian designation Savenaca,7.0
FJ,Fiji,AU,Australia,2024,2024,14,Bushmaster,armoured personnel carrier,14.0,2024,Second hand,Second-hand; for Fiji forces in UN peacekeeping operations,1.96
FJ,Fiji,AU,Australia,2024,2014,2,Guardian,patrol boat,1.0,2020; 2024,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Fijian designation Savenaca,7.0
FJ,Fiji,AU,Australia,2024,2024,1,Guardian,patrol boat,1.0,2024,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme (replacing a ship lost 2024 shortly after delivery),7.0
PG,Papua New Guinea,AU,Australia,2014,2014,1,Balikpapan,landing craft,1.0,2014,Second hand,Second-hand; for training; aid,3.2
PG,Papua New Guinea,AU,Australia,2018,2014,4,Guardian,patrol boat,1.3333,2018; 2021; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Papuan designation Ted Diro,9.3333
PG,Papua New Guinea,AU,Australia,2021,2014,4,Guardian,patrol boat,1.3333,2018; 2021; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Papuan designation Ted Diro,9.3333
PG,Papua New Guinea,AU,Australia,2023,2014,4,Guardian,patrol boat,1.3333,2018; 2021; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Papuan designation Ted Diro,9.3333
PG,Papua New Guinea,CN,China,2017,2017,1,WZ-551,armoured personnel carrier,1.0,2017,New,Aid,0.35
PG,Papua New Guinea,NZ,New Zealand,2018,2016,3,P-750,light transport aircraft,1.5,2018; 2023,New,Incl at least 2 financed by aid from Australia; P-750XL version; incl for non-military government use,1.35
PG,Papua New Guinea,NZ,New Zealand,2023,2016,3,P-750,light transport aircraft,1.5,2018; 2023,New,Incl at least 2 financed by aid from Australia; P-750XL version; incl for non-military government use,1.35
SB,Solomon Islands,AU,Australia,2019,2014,2,Guardian,patrol boat,1.0,2019; 2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7.0
SB,Solomon Islands,AU,Australia,2021,2014,2,Guardian,patrol boat,1.0,2019; 2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7.0
TO,Tonga,AU,Australia,2019,2014,2,Guardian,patrol boat,1.0,2019; 2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7.0
TO,Tonga,AU,Australia,2020,2014,2,Guardian,patrol boat,1.0,2019; 2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme,7.0
VU,Vanuatu,AU,Australia,2021,2014,1,Guardian,patrol boat,1.0,2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Vanuatu designation Takuare,7.0
