pacific_code,pacific_name,counterpart_code,counterpart_name,year,sector_code,sector_name,value_usd,pct_gdp
CK,Cook Islands,AU,Australia,2013,15220,"Civilian peace-building, conflict prevention and resolution",46135.0,0.0161
CK,Cook Islands,AU,Australia,2013,15250,Removal of land mines and explosive remnants of war,7801.0,0.0027
CK,Cook Islands,AU,Australia,2015,15220,"Civilian peace-building, conflict prevention and resolution",15450.0,0.0053
CK,Cook Islands,AU,Australia,2016,15220,"Civilian peace-building, conflict prevention and resolution",22971.0,0.0078
CK,Cook Islands,AU,Australia,2017,15220,"Civilian peace-building, conflict prevention and resolution",44363.0,0.0132
CK,Cook Islands,AU,Australia,2018,15220,"Civilian peace-building, conflict prevention and resolution",14452.0,0.0038
CK,Cook Islands,AU,Australia,2018,15240,Reintegration and SALW control,2671.0,0.0007
CK,Cook Islands,AU,Australia,2019,15220,"Civilian peace-building, conflict prevention and resolution",27993.0,0.0072
CK,Cook Islands,NZ,New Zealand,2010,15210,Security system management and reform,330014.0,0.1314
CK,Cook Islands,NZ,New Zealand,2011,15210,Security system management and reform,88720.0,0.0322
CK,Cook Islands,NZ,New Zealand,2012,15210,Security system management and reform,207305.0,0.0704
FJ,Fiji,AU,Australia,2011,15220,"Civilian peace-building, conflict prevention and resolution",6059.0,0.0002
FJ,Fiji,AU,Australia,2013,15220,"Civilian peace-building, conflict prevention and resolution",812231.0,0.0194
FJ,Fiji,AU,Australia,2015,15220,"Civilian peace-building, conflict prevention and resolution",261998.0,0.0056
FJ,Fiji,AU,Australia,2016,15220,"Civilian peace-building, conflict prevention and resolution",389457.0,0.0079
FJ,Fiji,AU,Australia,2017,15210,Security system management and reform,34890.0,0.0007
FJ,Fiji,AU,Australia,2017,15220,"Civilian peace-building, conflict prevention and resolution",752287.0,0.0141
FJ,Fiji,AU,Australia,2018,15210,Security system management and reform,162450.0,0.0029
FJ,Fiji,AU,Australia,2018,15220,"Civilian peace-building, conflict prevention and resolution",245071.0,0.0044
